,,First Name,Last Name,Team,Bye,Points,Completions,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Receptions,Rec Yards,Rec TDs,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
RB,64,Dameon,Pierce,HOU,14,58.3,,,,,288,2,72,10,75,0,,,,,,,,,,
RB,65,Tyrone,Tracy,NYG,11,57.2,,,,,275,2,69,10,77,0,,,,,,,,,,
RB,66,Keaton,Mitchell,BAL,14,56.2,,,,,245,1,47,14,117,0,,,,,,,,,,
RB,67,Ameer,Abdullah,LV,10,54.9,,,,,114,0,23,22,155,1,,,,,,,,,,
RB,68,Jamaal,Williams,NO,12,53.7,,,,,256,1,67,13,91,0,,,,,,,,,,
RB,69,Trey,Sermon,IND,14,53.2,,,,,256,2,64,9,66,0,,,,,,,,,,
RB,70,Ty,Johnson,BUF,12,51.7,,,,,236,2,52,9,71,0,,,,,,,,,,
RB,71,DOnta,Foreman,CLE,10,48.2,,,,,255,3,62,3,17,0,,,,,,,,,,
RB,72,Elijah,Mitchell,SF,9,46,,,,,275,2,67,4,25,0,,,,,,,,,,
RB,73,Chase,Edmonds,TB,11,46,,,,,187,1,48,13,83,0,,,,,,,,,,
RB,74,Jaylen,Wright,MIA,6,41.8,,,,,221,1,46,8,57,0,,,,,,,,,,
RB,75,DErnest,Johnson,JAC,12,41.2,,,,,217,1,53,8,55,0,,,,,,,,,,
RB,76,Kimani,Vidal,LAC,5,40.5,,,,,244,1,61,6,41,0,,,,,,,,,,
RB,77,Eric,Gray,NYG,11,39.6,,,,,201,1,48,8,55,0,,,,,,,,,,
RB,78,Michael,Carter,ARI,11,38.2,,,,,155,1,34,9,77,0,,,,,,,,,,
RB,79,Deneric,Prince,KC,6,35.1,,,,,181,2,43,3,20,0,,,,,,,,,,
RB,80,Cordarrelle,Patterson,PIT,9,32.9,,,,,82,1,21,11,77,0,,,,,,,,,,
RB,81,Dare,Ogunbowale,HOU,14,31,,,,,135,1,31,7,45,0,,,,,,,,,,
RB,82,Israel,Abanikanda,NYJ,12,30.8,,,,,76,1,19,10,72,0,,,,,,,,,,
RB,83,Craig,Reynolds,DET,5,30,,,,,155,1,35,5,35,0,,,,,,,,,,
RB,84,Trayveon,Williams,CIN,12,29.6,,,,,125,1,31,6,51,0,,,,,,,,,,
RB,85,Isaiah,Davis,NYJ,12,29,,,,,145,1,35,5,35,0,,,,,,,,,,
RB,86,Malik,Davis,DAL,7,28.2,,,,,155,1,38,4,27,0,,,,,,,,,,
RB,87,Chris,Rodriguez,WAS,14,26.3,,,,,172,1,39,2,11,0,,,,,,,,,,
RB,88,Ronnie,Rivers,LAR,6,25.1,,,,,155,1,39,2,16,0,,,,,,,,,,
RB,89,Julius,Chestnut,TEN,5,23.5,,,,,102,1,26,4,33,0,,,,,,,,,,
RB,90,Jordan,Mason,SF,9,22.6,,,,,125,1,30,2,21,0,,,,,,,,,,
RB,91,Isaac,Guerendo,SF,9,22.5,,,,,117,1,26,3,18,0,,,,,,,,,,
RB,92,Jase,McClellan,ATL,12,19.2,,,,,125,0,31,4,27,0,,,,,,,,,,
RB,93,Deuce,Vaughn,DAL,7,15.7,,,,,82,0,19,4,35,0,,,,,,,,,,
RB,94,Will,Shipley,PHI,5,14.9,,,,,82,0,20,4,27,0,,,,,,,,,,
RB,95,Audric,Estime,DEN,14,13.3,,,,,86,0,20,3,17,0,,,,,,,,,,
WR,0,Tyreek,Hill,MIA,6,335.6,,,,,28,0,4,109,"1,578",11,,,,,,,,,,
WR,1,CeeDee,Lamb,DAL,7,330.8,,,,,73,1,10,112,"1,455",10,,,,,,,,,,
WR,2,JaMarr,Chase,CIN,12,294.5,,,,,0,0,0,107,"1,335",9,,,,,,,,,,
WR,3,Justin,Jefferson,MIN,6,294,,,,,0,0,0,100,"1,460",8,,,,,,,,,,
WR,4,Amon-Ra,St.,DET,5,292.6,,,,,43,0,6,107,"1,333",8,,,,,,,,,,
WR,5,A.J.,Brown,PHI,5,271.9,,,,,0,0,0,95,"1,289",8,,,,,,,,,,
WR,6,Puka,Nacua,LAR,6,269.5,,,,,68,0,10,90,"1,247",8,,,,,,,,,,
WR,7,Davante,Adams,LV,10,261.3,,,,,0,0,0,104,"1,213",6,,,,,,,,,,
WR,8,Garrett,Wilson,NYJ,12,255,,,,,0,0,0,92,"1,150",8,,,,,,,,,,
WR,9,Chris,Olave,NO,12,249.7,,,,,0,0,0,90,"1,177",7,,,,,,,,,,
WR,10,Mike,Evans,TB,11,243.4,,,,,0,0,0,80,"1,154",8,,,,,,,,,,
WR,11,Michael,Pittman,IND,14,237.8,,,,,0,0,0,99,"1,088",5,,,,,,,,,,
WR,12,Brandon,Aiyuk,SF,9,237.1,,,,,11,0,2,79,"1,150",7,,,,,,,,,,
WR,13,DeVonta,Smith,PHI,5,237.1,,,,,0,0,0,85,"1,101",7,,,,,,,,,,
WR,14,Marvin,Harrison,ARI,11,232.4,,,,,0,0,0,86,"1,104",6,,,,,,,,,,
WR,15,Malik,Nabers,NYG,11,230.5,,,,,0,0,0,84,"1,105",6,,,,,,,,,,
WR,16,Deebo,Samuel,SF,9,229.8,,,,,199,3,34,69,929,5,,,,,,,,,,
WR,17,Drake,London,ATL,12,229.6,,,,,0,0,0,81,"1,066",7,,,,,,,,,,
WR,18,DK,Metcalf,SEA,10,229.5,,,,,0,0,0,79,"1,085",7,,,,,,,,,,
WR,19,Nico,Collins,HOU,14,225.5,,,,,0,0,0,77,"1,065",7,,,,,,,,,,
WR,20,George,Pickens,PIT,9,225.4,,,,,19,0,3,79,"1,085",6,,,,,,,,,,
WR,21,Stefon,Diggs,HOU,14,224.7,,,,,0,0,0,86,"1,027",6,,,,,,,,,,
WR,22,Zay,Flowers,BAL,14,223.8,,,,,43,1,6,82,955,6,,,,,,,,,,
WR,23,Jaylen,Waddle,MIA,6,223.4,,,,,14,0,2,78,"1,080",6,,,,,,,,,,
WR,24,Cooper,Kupp,LAR,6,220.3,,,,,14,0,2,78,989,7,,,,,,,,,,
WR,25,Chris,Godwin,TB,11,219.5,,,,,27,0,4,83,"1,038",5,,,,,,,,,,
WR,26,Amari,Cooper,CLE,10,216.6,,,,,0,0,0,75,"1,056",6,,,,,,,,,,
WR,27,Christian,Kirk,JAC,12,215.6,,,,,0,0,0,79,"1,066",5,,,,,,,,,,
WR,28,Calvin,Ridley,TEN,5,213.4,,,,,0,0,0,75,"1,024",6,,,,,,,,,,
WR,29,D.J.,Moore,CHI,7,206.2,,,,,14,0,2,72,968,6,,,,,,,,,,
WR,30,Jayden,Reed,GB,10,203.1,,,,,75,1,9,68,856,6,,,,,,,,,,
WR,31,Diontae,Johnson,CAR,11,203.1,,,,,0,0,0,73,941,6,,,,,,,,,,
WR,32,Marquise,Brown,KC,6,196.7,,,,,0,0,0,69,857,7,,,,,,,,,,
WR,33,Tee,Higgins,CIN,12,196.5,,,,,0,0,0,66,945,6,,,,,,,,,,
WR,34,Terry,McLaurin,WAS,14,196,,,,,0,0,0,72,940,5,,,,,,,,,,
WR,35,Tank,Dell,HOU,14,189.7,,,,,62,0,10,62,855,6,,,,,,,,,,
WR,36,Jordan,Addison,MIN,6,188.5,,,,,0,0,0,67,855,6,,,,,,,,,,
WR,37,DeAndre,Hopkins,TEN,5,185.5,,,,,0,0,0,68,875,5,,,,,,,,,,
WR,38,Tyler,Lockett,SEA,10,184.7,,,,,0,0,0,71,837,5,,,,,,,,,,
WR,39,Keenan,Allen,CHI,7,182.5,,,,,0,0,0,71,815,5,,,,,,,,,,
WR,40,Courtland,Sutton,DEN,14,176.5,,,,,0,0,0,61,795,6,,,,,,,,,,
WR,41,Brandin,Cooks,DAL,7,171.7,,,,,0,0,0,61,747,6,,,,,,,,,,
WR,42,Jaxon,Smith-Njigba,SEA,10,170.7,,,,,0,0,0,67,737,5,,,,,,,,,,
WR,43,Rashee,Rice,KC,6,164.4,,,,,0,0,0,57,714,6,,,,,,,,,,
WR,44,Jameson,Williams,DET,5,164.3,,,,,58,1,7,54,745,4,,,,,,,,,,
WR,45,Josh,Palmer,LAC,5,164.3,,,,,0,0,0,58,763,5,,,,,,,,,,
WR,46,Jakobi,Meyers,LV,10,162.3,,,,,0,0,0,61,713,5,,,,,,,,,,
WR,47,Ladd,McConkey,LAC,5,162.2,,,,,0,0,0,62,762,4,,,,,,,,,,
WR,48,Rome,Odunze,CHI,7,161.6,,,,,0,0,0,59,786,4,,,,,,,,,,
WR,49,Curtis,Samuel,BUF,12,160,,,,,51,0,9,63,679,4,,,,,,,,,,
WR,50,Jerry,Jeudy,CLE,10,158.4,,,,,0,0,0,59,754,4,,,,,,,,,,
WR,51,Rashid,Shaheed,NO,12,158.2,,,,,44,0,6,53,768,4,,,,,,,,,,
WR,52,Adam,Thielen,CAR,11,154.6,,,,,0,0,0,62,686,4,,,,,,,,,,
WR,53,Demario,Douglas,NE,14,153.9,,,,,37,0,6,60,722,3,,,,,,,,,,
WR,54,Keon,Coleman,BUF,12,153.5,,,,,0,0,0,55,745,4,,,,,,,,,,
WR,55,Jahan,Dotson,WAS,14,152.9,,,,,0,0,0,57,719,4,,,,,,,,,,
WR,56,Romeo,Doubs,GB,10,152.4,,,,,0,0,0,57,654,5,,,,,,,,,,
