,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
QB,75,Aaron,Rodgers,NYJ,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
QB,76,Kyle,Trask,TB,2,-0.1,0,1,0,0,-1,0,1,,,,,,,,,,,,,,
QB,77,Teddy,Bridgewater,DET,1,-0.2,0,0,0,0,-2,0,2,,,,,,,,,,,,,,
QB,78,Matt,Barkley,JAC,1,-0.3,0,0,0,0,-3,0,3,,,,,,,,,,,,,,
QB,79,Nathan,Peterman,CHI,1,-0.4,0,0,0,0,-4,0,2,,,,,,,,,,,,,,
QB,80,Kyle,Allen,BUF,6,-1.3,0,0,0,0,-13,0,13,,,,,,,,,,,,,,
RB,0,Christian,McCaffrey,SF,16,395.3,,,,,1459,14,272,83,564,7,67,,,,,,,,,,
RB,1,Breece,Hall,NYJ,17,288.5,,,,,994,5,223,95,591,4,76,,,,,,,,,,
RB,2,Travis,Etienne,JAC,17,278.4,,,,,1008,11,267,73,476,1,58,,,,,,,,,,
RB,3,Rachaad,White,TB,17,271.9,,,,,990,6,272,70,549,3,64,,,,,,,,,,
RB,4,Raheem,Mostert,MIA,15,269.7,,,,,1012,18,209,32,175,3,25,,,,,,,,,,
RB,5,Joe,Mixon,CIN,17,265,,,,,1034,9,257,64,376,3,52,,,,,,,,,,
RB,6,Kyren,Williams,LAR,12,257,,,,,1144,12,228,48,206,3,32,,,,,,,,,,
RB,7,Bijan,Robinson,ATL,17,252.3,,,,,976,4,214,86,487,4,58,,,,,,,,,,
RB,8,Jahmyr,Gibbs,DET,15,244.1,,,,,945,10,182,71,316,1,52,,,,,,,,,,
RB,9,Derrick,Henry,TEN,17,238.1,,,,,1167,12,280,36,214,0,28,,,,,,,,,,
RB,10,James,Cook,BUF,17,236.7,,,,,1122,2,237,54,445,4,44,,,,,,,,,,
RB,11,Alvin,Kamara,NO,13,227,,,,,694,5,180,86,466,1,75,,,,,,,,,,
RB,12,Saquon,Barkley,NYG,14,225.2,,,,,962,6,247,60,280,4,41,,,,,,,,,,
RB,13,Tony,Pollard,DAL,17,222.6,,,,,1005,6,252,67,311,0,55,,,,,,,,,,
RB,14,Isiah,Pacheco,KC,14,215.9,,,,,935,7,205,49,244,2,44,,,,,,,,,,
