,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
TE,73,Robert,Tonyan,CHI,11,22.2,,,,,,,,17,112,0,11,,,,,,,,,,
TE,74,Charlie,Kolar,BAL,6,21.7,,,,,,,,9,87,1,7,,,,,,,,,,
TE,75,C.J.,Uzomah,NYJ,7,19.8,,,,,,,,12,58,1,8,,,,,,,,,,
TE,76,Geoff,Swaim,ARI,7,19.4,,,,,,,,11,94,0,10,,,,,,,,,,
TE,77,Mitchell,Wilcox,CIN,9,14.6,,,,,,,,12,56,0,9,,,,,,,,,,
TE,78,Josiah,Deguara,GB,4,14.5,,,,,,,,8,65,0,8,,,,,,,,,,
TE,79,Brenton,Strange,JAC,5,14.5,,,,,,,,9,35,1,5,,,,,,,,,,
TE,80,Blake,Bell,KC,6,13.6,,,,,,,,9,26,1,5,,,,,,,,,,
TE,81,Lawrence,Cager,NYG,3,13.6,,,,,,,,5,36,1,4,,,,,,,,,,
TE,82,Darnell,Washington,PIT,8,13.1,,,,,,,,10,61,0,7,,,,,,,,,,
TE,83,Marcedes,Lewis,CHI,5,12.9,,,,,,,,5,29,1,4,,,,,,,,,,
TE,84,Brycen,Hopkins,LAR,4,12.8,,,,,,,,7,78,0,5,,,,,,,,,,
TE,85,Ben,Sims,GB,6,12.1,,,,,,,,6,21,1,4,,,,,,,,,,
TE,86,Payne,Durham,TB,6,10.8,,,,,,,,7,58,0,5,,,,,,,,,,
TE,87,Julian,Hill,MIA,6,10.8,,,,,,,,9,48,0,6,,,,,,,,,,
TE,88,Quintin,Morris,BUF,2,10.6,,,,,,,,3,26,1,2,,,,,,,,,,
TE,89,Ian,Thomas,CAR,7,10.6,,,,,,,,9,56,0,5,,,,,,,,,,
TE,90,Jack,Stoll,PHI,5,8.8,,,,,,,,8,38,0,5,,,,,,,,,,
TE,91,Grant,Calcaterra,PHI,2,7.9,,,,,,,,4,39,0,4,,,,,,,,,,
TE,92,Peyton,Hendershot,DAL,7,7.8,,,,,,,,7,38,0,4,,,,,,,,,,
TE,93,Ko,Kieft,TB,3,7.2,,,,,,,,5,2,1,1,,,,,,,,,,
TE,94,Nate,Adkins,DEN,4,6.2,,,,,,,,5,22,0,4,,,,,,,,,,
TE,95,Charlie,Woerner,SF,3,6.2,,,,,,,,3,32,0,3,,,,,,,,,,
TE,96,Greg,Dulcich,DEN,2,5.5,,,,,,,,4,25,0,3,,,,,,,,,,
TE,97,Teagan,Quitoriano,HOU,3,5.3,,,,,,,,3,33,0,2,,,,,,,,,,
TE,98,James,Mitchell,DET,2,4.8,,,,,,,,2,28,0,2,,,,,,,,,,
TE,99,Kenny,Yeboah,NYJ,2,4.8,,,,,,,,4,28,0,2,,,,,,,,,,
TE,100,Eric,Saubert,HOU,3,4.2,,,,,,,,3,12,0,3,,,,,,,,,,
TE,101,Chris,Manhertz,DEN,4,3.6,,,,,,,,4,16,0,2,,,,,,,,,,
TE,102,Nick,Muse,MIN,1,3.2,,,,,,,,1,22,0,1,,,,,,,,,,
TE,103,Trevon,Wesco,TEN,3,3.1,,,,,,,,3,21,0,1,,,,,,,,,,
TE,104,Ross,Dwelley,SF,2,2.2,,,,,,,,2,12,0,1,,,,,,,,,,
TE,105,John,FitzPatrick,ATL,1,2.2,,,,,,,,1,12,0,1,,,,,,,,,,
TE,106,Tucker,Fisk,ATL,1,1.9,,,,,,,,1,9,0,1,,,,,,,,,,
TE,107,Cole,Fotheringham,LV,1,1.6,,,,,,,,1,6,0,1,,,,,,,,,,
TE,108,Kevin,Rader,TEN,2,1.6,,,,,,,,3,6,0,1,,,,,,,,,,
TE,109,Jesper,Horsted,LV,1,1.4,,,,,,,,1,4,0,1,,,,,,,,,,
TE,110,Nick,Vannett,LAC,1,1.3,,,,,,,,1,3,0,1,,,,,,,,,,
TE,111,Giovanni,Ricci,CAR,1,1.2,,,,,,,,1,2,0,1,,,,,,,,,,
TE,112,David,Wells,TB,1,1,,,,,,,,2,-10,0,2,,,,,,,,,,
TE,113,Sean,McKeon,DAL,2,0,,,,,,,,2,0,0,0,,,,,,,,,,
TE,114,Albert,Okwuegbunam,PHI,1,0,,,,,,,,1,0,0,0,,,,,,,,,,
TE,115,Rodney,Williams,PIT,1,0,,,,,,,,2,0,0,0,,,,,,,,,,
K,0,Brandon,Aubrey, DAL,17,157,,,,,,,,,,,,36,38,94.7,49,,,,,,
K,1,Justin,Tucker, BAL,17,147,,,,,,,,,,,,32,37,86.5,51,,,,,,
K,2,Jason,Myers, SEA,17,138,,,,,,,,,,,,35,42,83.3,33,,,,,,
K,3,Harrison,Butker, KC,17,137,,,,,,,,,,,,33,35,94.3,38,,,,,,
K,4,Cairo,Santos, CHI,17,136,,,,,,,,,,,,35,38,92.1,31,,,,,,
K,5,Jake,Elliott, PHI,17,135,,,,,,,,,,,,30,32,93.8,45,,,,,,
K,6,Matt,Gay, IND,17,134,,,,,,,,,,,,33,41,80.5,35,,,,,,
K,7,Blake,Grupe, NO,17,130,,,,,,,,,,,,30,37,81.1,40,,,,,,
K,8,Jason,Sanders, MIA,17,130,,,,,,,,,,,,24,28,85.7,58,,,,,,
K,9,Cameron,Dicker, LAC,17,128,,,,,,,,,,,,31,33,93.9,35,,,,,,
K,10,Brandon,McManus, JAC,17,125,,,,,,,,,,,,30,37,81.1,35,,,,,,
K,11,Dustin,Hopkins, CLE,15,123,,,,,,,,,,,,33,36,91.7,24,,,,,,
K,12,Younghoe,Koo, ATL,17,123,,,,,,,,,,,,32,37,86.5,27,,,,,,
K,13,Jake,Moody, SF,17,123,,,,,,,,,,,,21,25,84,60,,,,,,
K,14,Tyler,Bass, BUF,17,121,,,,,,,,,,,,24,29,82.8,49,,,,,,
K,15,Chase,McLaughlin, TB,17,120,,,,,,,,,,,,29,31,93.5,33,,,,,,
K,16,Greg,Zuerlein, NYJ,16,120,,,,,,,,,,,,35,38,92.1,15,,,,,,
K,17,Wil,Lutz, DEN,17,119,,,,,,,,,,,,30,34,88.2,29,,,,,,
K,18,Evan,McPherson, CIN,17,118,,,,,,,,,,,,26,31,83.9,40,,,,,,
K,19,Anders,Carlson, GB,17,115,,,,,,,,,,,,27,33,81.8,34,,,,,,
K,20,Nick,Folk, TEN,17,115,,,,,,,,,,,,29,30,96.7,28,,,,,,
K,21,Chris,Boswell, PIT,17,114,,,,,,,,,,,,29,31,93.5,27,,,,,,
K,22,Daniel,Carlson, LV,17,110,,,,,,,,,,,,26,31,83.9,32,,,,,,
K,23,Greg,Joseph, MIN,17,108,,,,,,,,,,,,24,30,80,36,,,,,,
K,24,Matt,Prater, ARI,17,106,,,,,,,,,,,,28,33,84.8,22,,,,,,
K,25,Kaimi,Fairbairn, HOU,12,102,,,,,,,,,,,,27,28,96.4,21,,,,,,
K,26,Eddy,Pineiro, CAR,16,92,,,,,,,,,,,,25,29,86.2,17,,,,,,
K,27,Riley,Patterson, DET,15,89,,,,,,,,,,,,16,18,88.9,41,,,,,,
K,28,Joey,Slye, WAS,17,89,,,,,,,,,,,,19,24,79.2,32,,,,,,
K,29,Chad,Ryland, NE,17,72,,,,,,,,,,,,16,25,64,24,,,,,,
K,30,Lucas,Havrisik, LAR,9,64,,,,,,,,,,,,15,20,75,19,,,,,,
K,31,Brett,Maher, LAR,8,64,,,,,,,,,,,,17,23,73.9,13,,,,,,
K,32,Graham,Gano, NYG,8,41,,,,,,,,,,,,11,17,64.7,8,,,,,,
K,33,Matt,Ammendola, HOU,5,28,,,,,,,,,,,,6,9,66.7,10,,,,,,
K,34,Mike,Badgley, DET,4,25,,,,,,,,,,,,4,4,100,13,,,,,,
K,35,Randy,Bullock, NYG,6,25,,,,,,,,,,,,5,6,83.3,10,,,,,,
K,36,Mason,Crosby, NYG,3,21,,,,,,,,,,,,5,7,71.4,6,,,,,,
K,37,Austin,Seibert, NYJ,1,4,,,,,,,,,,,,1,1,100,1,,,,,,
K,38,Matthew,Wright, CAR,1,0,,,,,,,,,,,,0,1,0,0,,,,,,
DEF,0,Dalls,Cowboys,DAL,,110,,,,,,,,,,,,,,,,46,17,9,1,6,315
DEF,1,Miami,Dolphins,MIA,,107,,,,,,,,,,,,,,,,56,15,12,0,4,391
DEF,2,Baltimore,Ravens,BAL,,105,,,,,,,,,,,,,,,,60,18,13,1,1,280
DEF,3,New York,Jets,NYJ,,105,,,,,,,,,,,,,,,,48,17,10,3,3,355
DEF,4,Buffalo,Bills,BUF,,102,,,,,,,,,,,,,,,,54,18,12,0,2,311
DEF,5,Indianapolis,Colts,IND,,101,,,,,,,,,,,,,,,,51,15,9,1,4,415
DEF,6,Cleveland,Browns,CLE,,95,,,,,,,,,,,,,,,,49,18,10,0,3,362
DEF,7,Las Vegas,Raiders,LVR,,94,,,,,,,,,,,,,,,,46,13,9,1,4,331
DEF,8,New York,Giants,NYG,,89,,,,,,,,,,,,,,,,34,18,13,0,3,407
DEF,9,Pitsburgh,Steelers,PIT,,88,,,,,,,,,,,,,,,,47,16,11,1,2,324
DEF,10,Houston,Texans,HOU,,87,,,,,,,,,,,,,,,,45,14,10,0,1,353
DEF,11,Kansas City,Chiefs,KC,,86,,,,,,,,,,,,,,,,57,8,9,0,2,294
DEF,12,San Francisco,49ers,SF,,84,,,,,,,,,,,,,,,,48,22,6,1,1,298
DEF,13,Seattle,Seahawks,SEA,,84,,,,,,,,,,,,,,,,47,11,8,0,3,402
DEF,14,Cincinatti,Bengals,CIN,,82,,,,,,,,,,,,,,,,44,17,9,0,1,384
DEF,15,Tampa Bay,Buccaneers,TB,,82,,,,,,,,,,,,,,,,48,13,13,1,1,325
DEF,16,Denver,Broncos,DEN,,82,,,,,,,,,,,,,,,,42,11,15,1,1,413
DEF,17,Philadelphia,Eagles,PHI,,81,,,,,,,,,,,,,,,,43,9,9,1,3,428
DEF,18,Jacksonville,Jaguars,JAC,,79,,,,,,,,,,,,,,,,40,16,11,0,2,371
DEF,19,Minnesota,Vikings,MIN,,77,,,,,,,,,,,,,,,,43,11,11,0,2,362
DEF,20,Green Bay,Packers,GB,,75,,,,,,,,,,,,,,,,45,7,11,0,2,350
DEF,21,New Orleans,Saints,NO,,75,,,,,,,,,,,,,,,,34,18,11,0,1,327
DEF,22,Los Angeles,Chargers,LAC,,75,,,,,,,,,,,,,,,,48,9,12,0,0,398
DEF,23,Detriot,Lions,DET,,72,,,,,,,,,,,,,,,,41,16,7,1,1,395
DEF,24,Chicago,Bears,CHI,,70,,,,,,,,,,,,,,,,30,22,6,0,2,379
DEF,25,New England,Patriots,NE,,68,,,,,,,,,,,,,,,,36,10,8,1,1,366
DEF,26,Atlanta,Falcons,ATL,,66,,,,,,,,,,,,,,,,42,8,8,1,1,373
DEF,27,Tennesee,Titans,TEN,,65,,,,,,,,,,,,,,,,45,6,8,0,1,367
DEF,28,Los Angeles,Rams,LAR,,60,,,,,,,,,,,,,,,,41,10,5,2,0,377
DEF,29,Washington,Commanders,WAS,,57,,,,,,,,,,,,,,,,39,8,10,0,0,518
DEF,30,Arizona,Cardinals,ARI,,56,,,,,,,,,,,,,,,,33,11,6,0,1,455
DEF,31,Carolina,Panthers,CAR,,56,,,,,,,,,,,,,,,,27,8,3,0,2,416
