,,First Name,Last Name,Team,Bye,Points,Completions,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Receptions,Rec Yards,Rec TDs,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
RB,25,Jaylen,Warren,PIT,9,187.4,,,,,714,4.0,155.0,47.0,330,2.0,,,,,,,,,,
RB,26,Javonte,Williams,DEN,14,187.0,,,,,775,4.0,189.0,46.0,275,2.0,,,,,,,,,,
RB,27,Brian,Robinson,WAS,14,184.7,,,,,836,5.0,204.0,32.0,271,2.0,,,,,,,,,,
RB,28,James,Conner,ARI,11,183.1,,,,,875,6.0,208.0,32.0,216,1.0,,,,,,,,,,
RB,29,Ezekiel,Elliott,DAL,7,171.8,,,,,727,6.0,186.0,35.0,221,1.0,,,,,,,,,,
RB,30,Devin,Singletary,NYG,11,171.7,,,,,759,4.0,185.0,39.0,268,1.0,,,,,,,,,,
RB,31,Tony,Pollard,TEN,5,170.3,,,,,655,5.0,156.0,41.0,278,1.0,,,,,,,,,,
RB,32,Austin,Ekeler,WAS,14,163.0,,,,,455,3.0,117.0,49.0,385,2.0,,,,,,,,,,
RB,33,Gus,Edwards,LAC,5,160.6,,,,,855,7.0,199.0,18.0,151,0.0,,,,,,,,,,
RB,34,Zack,Moss,CIN,12,159.0,,,,,727,6.0,169.0,26.0,183,1.0,,,,,,,,,,
RB,35,Jonathon,Brooks,CAR,11,157.1,,,,,735,5.0,171.0,27.0,206,1.0,,,,,,,,,,
RB,36,Chase,Brown,CIN,12,149.0,,,,,526,4.0,122.0,34.0,264,2.0,,,,,,,,,,
RB,37,Nick,Chubb,CLE,10,144.1,,,,,776,6.0,162.0,17.0,135,0.0,,,,,,,,,,
RB,38,J.K.,Dobbins,LAC,5,135.0,,,,,613,3.0,125.0,28.0,217,1.0,,,,,,,,,,
RB,39,Ty,Chandler,MIN,6,134.6,,,,,645,4.0,150.0,23.0,171,1.0,,,,,,,,,,
RB,40,Zach,Charbonnet,SEA,10,130.1,,,,,511,3.0,116.0,33.0,220,1.0,,,,,,,,,,
RB,41,Tyler,Allgeier,ATL,12,123.8,,,,,517,4.0,129.0,24.0,181,1.0,,,,,,,,,,
RB,42,Antonio,Gibson,NE,14,122.2,,,,,467,2.0,111.0,33.0,245,1.0,,,,,,,,,,
RB,43,Jaleel,McLaughlin,DEN,14,109.5,,,,,464,3.0,97.0,27.0,181,0.0,,,,,,,,,,
RB,44,Trey,Benson,ARI,11,102.4,,,,,455,3.0,106.0,19.0,139,1.0,,,,,,,,,,
RB,45,Blake,Corum,LAR,6,102.0,,,,,427,3.0,97.0,24.0,173,0.0,,,,,,,,,,
RB,46,Chuba,Hubbard,CAR,11,100.9,,,,,454,3.0,111.0,22.0,155,0.0,,,,,,,,,,
RB,47,Kendre,Miller,NO,12,97.7,,,,,338,2.0,85.0,27.0,189,1.0,,,,,,,,,,
RB,48,Samaje,Perine,DEN,14,95.0,,,,,225,1.0,52.0,34.0,265,1.0,,,,,,,,,,
RB,49,Rico,Dowdle,DAL,7,92.3,,,,,408,2.0,100.0,23.0,165,0.0,,,,,,,,,,
RB,50,MarShawn,Lloyd,GB,10,91.3,,,,,377,2.0,90.0,21.0,146,1.0,,,,,,,,,,
RB,51,Clyde,Edwards-Helaire,KC,6,88.7,,,,,353,2.0,93.0,20.0,154,1.0,,,,,,,,,,
RB,52,Ray,Davis,BUF,12,87.2,,,,,426,3.0,99.0,15.0,116,0.0,,,,,,,,,,
RB,53,Jerome,Ford,CLE,10,86.1,,,,,377,2.0,94.0,21.0,154,0.0,,,,,,,,,,
RB,54,Alexander,Mattison,LV,10,84.0,,,,,447,2.0,115.0,16.0,113,0.0,,,,,,,,,,
RB,55,Khalil,Herbert,CHI,7,83.4,,,,,445,2.0,101.0,16.0,109,0.0,,,,,,,,,,
RB,56,Roschon,Johnson,CHI,7,83.2,,,,,377,2.0,86.0,16.0,115,1.0,,,,,,,,,,
RB,57,Kenneth,Gainwell,PHI,5,80.8,,,,,305,2.0,69.0,23.0,153,0.0,,,,,,,,,,
RB,58,Justice,Hill,BAL,14,80.5,,,,,228,1.0,51.0,27.0,187,1.0,,,,,,,,,,
RB,59,AJ,Dillon,GB,10,73.3,,,,,358,2.0,94.0,14.0,115,0.0,,,,,,,,,,
RB,60,Bucky,Irving,TB,11,69.8,,,,,356,2.0,87.0,13.0,92,0.0,,,,,,,,,,
RB,61,Braelon,Allen,NYJ,12,68.3,,,,,376,2.0,87.0,11.0,77,0.0,,,,,,,,,,
RB,62,Miles,Sanders,CAR,11,64.6,,,,,315,2.0,79.0,13.0,81,0.0,,,,,,,,,,
RB,63,Tank,Bigsby,JAC,12,59.4,,,,,288,2.0,72.0,11.0,76,0.0,,,,,,,,,,
RB,64,Dameon,Pierce,HOU,14,58.3,,,,,288,2.0,72.0,10.0,75,0.0,,,,,,,,,,
RB,65,Tyrone,Tracy,NYG,11,57.2,,,,,275,2.0,69.0,10.0,77,0.0,,,,,,,,,,
RB,66,Keaton,Mitchell,BAL,14,56.2,,,,,245,1.0,47.0,14.0,117,0.0,,,,,,,,,,
RB,67,Ameer,Abdullah,LV,10,54.9,,,,,114,0.0,23.0,22.0,155,1.0,,,,,,,,,,
RB,68,Jamaal,Williams,NO,12,53.7,,,,,256,1.0,67.0,13.0,91,0.0,,,,,,,,,,
RB,69,Trey,Sermon,IND,14,53.2,,,,,256,2.0,64.0,9.0,66,0.0,,,,,,,,,,
RB,70,Ty,Johnson,BUF,12,51.7,,,,,236,2.0,52.0,9.0,71,0.0,,,,,,,,,,
RB,71,DOnta,Foreman,CLE,10,48.2,,,,,255,3.0,62.0,3.0,17,0.0,,,,,,,,,,
RB,72,Elijah,Mitchell,SF,9,46.0,,,,,275,2.0,67.0,4.0,25,0.0,,,,,,,,,,
RB,73,Chase,Edmonds,TB,11,46.0,,,,,187,1.0,48.0,13.0,83,0.0,,,,,,,,,,
RB,74,Jaylen,Wright,MIA,6,41.8,,,,,221,1.0,46.0,8.0,57,0.0,,,,,,,,,,
RB,75,DErnest,Johnson,JAC,12,41.2,,,,,217,1.0,53.0,8.0,55,0.0,,,,,,,,,,
RB,76,Kimani,Vidal,LAC,5,40.5,,,,,244,1.0,61.0,6.0,41,0.0,,,,,,,,,,
RB,77,Eric,Gray,NYG,11,39.6,,,,,201,1.0,48.0,8.0,55,0.0,,,,,,,,,,
RB,78,Michael,Carter,ARI,11,38.2,,,,,155,1.0,34.0,9.0,77,0.0,,,,,,,,,,
RB,79,Deneric,Prince,KC,6,35.1,,,,,181,2.0,43.0,3.0,20,0.0,,,,,,,,,,
RB,80,Cordarrelle,Patterson,PIT,9,32.9,,,,,82,1.0,21.0,11.0,77,0.0,,,,,,,,,,
RB,81,Dare,Ogunbowale,HOU,14,31.0,,,,,135,1.0,31.0,7.0,45,0.0,,,,,,,,,,
RB,82,Israel,Abanikanda,NYJ,12,30.8,,,,,76,1.0,19.0,10.0,72,0.0,,,,,,,,,,
RB,83,Craig,Reynolds,DET,5,30.0,,,,,155,1.0,35.0,5.0,35,0.0,,,,,,,,,,
RB,84,Trayveon,Williams,CIN,12,29.6,,,,,125,1.0,31.0,6.0,51,0.0,,,,,,,,,,
RB,85,Isaiah,Davis,NYJ,12,29.0,,,,,145,1.0,35.0,5.0,35,0.0,,,,,,,,,,
RB,86,Malik,Davis,DAL,7,28.2,,,,,155,1.0,38.0,4.0,27,0.0,,,,,,,,,,
RB,87,Chris,Rodriguez,WAS,14,26.3,,,,,172,1.0,39.0,2.0,11,0.0,,,,,,,,,,
RB,88,Ronnie,Rivers,LAR,6,25.1,,,,,155,1.0,39.0,2.0,16,0.0,,,,,,,,,,
RB,89,Julius,Chestnut,TEN,5,23.5,,,,,102,1.0,26.0,4.0,33,0.0,,,,,,,,,,
RB,90,Jordan,Mason,SF,9,22.6,,,,,125,1.0,30.0,2.0,21,0.0,,,,,,,,,,
RB,91,Isaac,Guerendo,SF,9,22.5,,,,,117,1.0,26.0,3.0,18,0.0,,,,,,,,,,
RB,92,Jase,McClellan,ATL,12,19.2,,,,,125,0.0,31.0,4.0,27,0.0,,,,,,,,,,
RB,93,Deuce,Vaughn,DAL,7,15.7,,,,,82,0.0,19.0,4.0,35,0.0,,,,,,,,,,
RB,94,Will,Shipley,PHI,5,14.9,,,,,82,0.0,20.0,4.0,27,0.0,,,,,,,,,,
RB,95,Audric,Estime,DEN,14,13.3,,,,,86,0.0,20.0,3.0,17,0.0,,,,,,,,,,
WR,0,Tyreek,Hill,MIA,6,335.6,,,,,28,0.0,4.0,109.0,"1,578",11.0,,,,,,,,,,
WR,2,JaMarr,Chase,CIN,12,294.5,,,,,0,0.0,0.0,107.0,"1,335",9.0,,,,,,,,,,
WR,3,Justin,Jefferson,MIN,6,294.0,,,,,0,0.0,0.0,100.0,"1,460",8.0,,,,,,,,,,
WR,4,Amon-Ra,St.,DET,5,292.6,,,,,43,0.0,6.0,107.0,"1,333",8.0,,,,,,,,,,
WR,5,A.J.,Brown,PHI,5,271.9,,,,,0,0.0,0.0,95.0,"1,289",8.0,,,,,,,,,,
WR,6,Puka,Nacua,LAR,6,269.5,,,,,68,0.0,10.0,90.0,"1,247",8.0,,,,,,,,,,
WR,7,Davante,Adams,LV,10,261.3,,,,,0,0.0,0.0,104.0,"1,213",6.0,,,,,,,,,,
WR,8,Garrett,Wilson,NYJ,12,255.0,,,,,0,0.0,0.0,92.0,"1,150",8.0,,,,,,,,,,
WR,9,Chris,Olave,NO,12,249.7,,,,,0,0.0,0.0,90.0,"1,177",7.0,,,,,,,,,,
WR,10,Mike,Evans,TB,11,243.4,,,,,0,0.0,0.0,80.0,"1,154",8.0,,,,,,,,,,
WR,11,Michael,Pittman,IND,14,237.8,,,,,0,0.0,0.0,99.0,"1,088",5.0,,,,,,,,,,
WR,12,Brandon,Aiyuk,SF,9,237.1,,,,,11,0.0,2.0,79.0,"1,150",7.0,,,,,,,,,,
WR,13,DeVonta,Smith,PHI,5,237.1,,,,,0,0.0,0.0,85.0,"1,101",7.0,,,,,,,,,,
WR,14,Marvin,Harrison,ARI,11,232.4,,,,,0,0.0,0.0,86.0,"1,104",6.0,,,,,,,,,,
WR,15,Malik,Nabers,NYG,11,230.5,,,,,0,0.0,0.0,84.0,"1,105",6.0,,,,,,,,,,
WR,16,Deebo,Samuel,SF,9,229.8,,,,,199,3.0,34.0,69.0,929,5.0,,,,,,,,,,
WR,17,Drake,London,ATL,12,229.6,,,,,0,0.0,0.0,81.0,"1,066",7.0,,,,,,,,,,
WR,18,DK,Metcalf,SEA,10,229.5,,,,,0,0.0,0.0,79.0,"1,085",7.0,,,,,,,,,,
WR,19,Nico,Collins,HOU,14,225.5,,,,,0,0.0,0.0,77.0,"1,065",7.0,,,,,,,,,,
WR,20,George,Pickens,PIT,9,225.4,,,,,19,0.0,3.0,79.0,"1,085",6.0,,,,,,,,,,
WR,21,Stefon,Diggs,HOU,14,224.7,,,,,0,0.0,0.0,86.0,"1,027",6.0,,,,,,,,,,
WR,22,Zay,Flowers,BAL,14,223.8,,,,,43,1.0,6.0,82.0,955,6.0,,,,,,,,,,
WR,23,Jaylen,Waddle,MIA,6,223.4,,,,,14,0.0,2.0,78.0,"1,080",6.0,,,,,,,,,,
WR,24,Cooper,Kupp,LAR,6,220.3,,,,,14,0.0,2.0,78.0,989,7.0,,,,,,,,,,
WR,25,Chris,Godwin,TB,11,219.5,,,,,27,0.0,4.0,83.0,"1,038",5.0,,,,,,,,,,
WR,26,Amari,Cooper,CLE,10,216.6,,,,,0,0.0,0.0,75.0,"1,056",6.0,,,,,,,,,,
WR,27,Christian,Kirk,JAC,12,215.6,,,,,0,0.0,0.0,79.0,"1,066",5.0,,,,,,,,,,
WR,28,Calvin,Ridley,TEN,5,213.4,,,,,0,0.0,0.0,75.0,"1,024",6.0,,,,,,,,,,
WR,29,D.J.,Moore,CHI,7,206.2,,,,,14,0.0,2.0,72.0,968,6.0,,,,,,,,,,
WR,30,Jayden,Reed,GB,10,203.1,,,,,75,1.0,9.0,68.0,856,6.0,,,,,,,,,,
WR,31,Diontae,Johnson,CAR,11,203.1,,,,,0,0.0,0.0,73.0,941,6.0,,,,,,,,,,
WR,32,Marquise,Brown,KC,6,196.7,,,,,0,0.0,0.0,69.0,857,7.0,,,,,,,,,,
WR,33,Tee,Higgins,CIN,12,196.5,,,,,0,0.0,0.0,66.0,945,6.0,,,,,,,,,,
WR,34,Terry,McLaurin,WAS,14,196.0,,,,,0,0.0,0.0,72.0,940,5.0,,,,,,,,,,
WR,35,Tank,Dell,HOU,14,189.7,,,,,62,0.0,10.0,62.0,855,6.0,,,,,,,,,,
